video,duration_s,pitch_mean_hz,pitch_var_hz,energy_mean_rms,energy_var_rms,speech_ratio,n_pauses,mean_pause_duration_s,speaking_rate_proxy_hz
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-01-01-01.mp4,3.3033125,101.43444916938213,688.6488159650846,0.002323426539078355,1.0426675544294994e-05,0.5990338164251208,1,0.16,4.032258064516129
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-01-02-01.mp4,3.3366875,97.72140749865486,822.3874804885447,0.002499001333490014,1.1892781003552955e-05,0.583732057416268,0,0.0,5.122950819672131
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-02-01-01.mp4,3.2699375,100.18682944334768,550.0347689525026,0.002841403940692544,1.7355720046907663e-05,0.5804878048780487,1,0.736,2.6260504201680672
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-02-02-01.mp4,3.1698125,97.84511593741884,588.5296540704335,0.0026586875319480896,1.6335496184183285e-05,0.5577889447236181,1,0.784,2.815315315315315
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-01-01-01.mp4,3.536875,105.9844939416376,718.1886526693793,0.0016999023500829935,5.763791705248877e-06,0.5990990990990991,0,0.0,2.819548872180451
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-01-02-01.mp4,3.603625,104.54596595235108,473.34832721485395,0.0018063354073092341,6.179078354762169e-06,0.6017699115044248,0,0.0,1.838235294117647
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-02-01-01.mp4,3.5035,98.61004782074578,312.3038625236838,0.002635555574670434,1.114377209887607e-05,0.5753424657534246,0,0.0,3.4722222222222223
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-02-02-01.mp4,3.470125,96.5123717264738,337.3503289179122,0.00269438442774117,1.2827445061702747e-05,0.5852534562211982,0,0.0,2.4606299212598426
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-02-01-01-01.mp4,3.7036875,94.59307057440346,212.9623234885951,0.0015321996761485934,3.4282184060430154e-06,0.5818965517241379,0,0.0,3.7037037037037033
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-02-01-02-01.mp4,4.004,110.13773219121518,169.24994290781007,0.0016416244907304645,4.167713086644653e-06,0.5976095617529881,0,0.0,3.3333333333333335
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-01-01-01-01-02.mp4,3.6369375,183.804309429541,9531.532824057796,0.0037553119473159313,2.723701072682161e-05,0.6008771929824561,1,0.432,4.562043795620437
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-01-01-01-02-02.mp4,3.603625,196.53680922449595,10531.57460410171,0.003670948324725032,2.397634307271801e-05,0.6017699115044248,2,0.336,3.676470588235294
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-01-01-02-01-02.mp4,3.7704375,170.0714499159461,7726.2231777701645,0.005459306761622429,5.9828282246598974e-05,0.5889830508474576,1,0.304,3.1474820143884887
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-01-01-02-02-02.mp4,3.603625,197.62046873543932,6544.817701946488,0.004910825751721859,4.711373912869021e-05,0.5929203539823009,1,0.224,3.731343283582089
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-02-01-01-01-02.mp4,3.8371875,231.75035065159804,1746.205301033845,0.0033960577566176653,2.0191580915707164e-05,0.6166666666666667,1,0.064,3.800675675675676
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-02-01-01-02-02.mp4,4.004,225.39875044862345,1402.3603175800508,0.0034754183143377304,1.9201032046112232e-05,0.6095617529880478,0,0.0,4.493464052287582
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-02-01-02-01-02.mp4,3.8371875,220.01320941280414,771.1420537407641,0.003677844535559416,2.3454125766875222e-05,0.6,1,0.368,3.4722222222222223
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-02-01-02-02-02.mp4,3.970625,217.4381432103098,883.1862855271503,0.0036299871280789375,2.157351264031604e-05,0.5783132530120482,1,0.528,4.340277777777778
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-02-02-01-01-02.mp4,4.1374375,226.1789075682087,2047.211228126696,0.0028163541574031115,1.5220490240608342e-05,0.5984555984555985,1,0.176,5.241935483870968
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_02\Actor_02\01-01-02-02-01-02-02.mp4,4.037375,221.8925702214066,1077.5311021098607,0.0030866179149597883,1.7997434042626992e-05,0.5849802371541502,0,0.0,3.3783783783783785
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-01-01-01-01-03.mp4,3.43675,137.2981861545017,2530.702157443757,0.004139883443713188,3.3303764212178066e-05,0.5906976744186047,0,0.0,4.921259842519685
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-01-01-01-02-03.mp4,3.5035,140.9812245349857,2605.3513177936647,0.0038554503116756678,2.517279972380493e-05,0.6073059360730594,1,0.28800000000000003,3.7593984962406015
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-01-01-02-01-03.mp4,3.5035,118.64462748000486,1413.4991551923,0.004233310464769602,3.059319715248421e-05,0.5844748858447488,1,0.14400000000000002,5.37109375
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-01-01-02-02-03.mp4,3.470125,126.91190752638832,1573.2618993437427,0.0045212856493890285,4.48231803602539e-05,0.5990783410138248,0,0.0,3.3653846153846154
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-02-01-01-01-03.mp4,3.8371875,106.44801662155385,503.9452845617764,0.0028304276056587696,1.1069238098571077e-05,0.6,0,0.0,3.4722222222222223
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-02-01-01-02-03.mp4,3.7370625,112.72622503009421,292.07587599422646,0.0030477303080260754,1.3376886272453703e-05,0.5982905982905983,0,0.0,4.017857142857142
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-02-01-02-01-03.mp4,3.8371875,105.72404587044387,236.79525531361173,0.002973636845126748,1.0475316230440512e-05,0.6,0,0.0,3.0381944444444446
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-02-01-02-02-03.mp4,3.970625,152.12344795997288,341.1243258075639,0.008085301145911217,7.353476394200698e-05,0.6144578313253012,0,0.0,3.2679738562091503
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-02-02-01-01-03.mp4,4.037375,290.0567034771912,54910.48813722004,0.004638154525309801,2.925564876932185e-05,0.6007905138339921,1,0.432,4.934210526315789
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_03\Actor_03\01-01-02-02-01-02-03.mp4,3.970625,446.7798887187846,377128.6217196192,0.008021082729101181,9.337109077023342e-05,0.5983935742971888,0,0.0,3.3557046979865772
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-01-01-01-01-04.mp4,3.3033125,236.29289649962516,5118.894730951288,0.002531306119635701,1.1776543033192866e-05,0.5942028985507246,1,0.368,5.08130081300813
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-01-01-01-02-04.mp4,3.3700625,214.3617523846659,6657.849706874268,0.0028277067467570305,1.3715804016101174e-05,0.5687203791469194,1,0.128,4.6875
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-01-01-02-01-04.mp4,3.2699375,205.74539214987945,3916.513562581364,0.0025720892008394003,1.3266107998788357e-05,0.6146341463414634,2,0.088,3.4722222222222223
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-01-01-02-02-04.mp4,3.2365625,215.71382308652537,2278.002631678267,0.0021597768645733595,9.19823651202023e-06,0.5862068965517241,1,0.256,2.6260504201680672
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-02-01-01-01-04.mp4,3.8038125,230.93673251093037,2858.0814771481805,0.002829744480550289,1.216943383042235e-05,0.592436974789916,1,0.14400000000000002,3.98936170212766
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-02-01-01-02-04.mp4,3.7370625,222.80944906331544,4047.777135356544,0.0030441470444202423,1.2448406778275967e-05,0.5811965811965812,0,0.0,4.136029411764706
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-02-01-02-01-04.mp4,3.6369375,224.3647867629859,1189.6936596000976,0.003941779490560293,2.1149888198124245e-05,0.6008771929824561,1,0.256,1.824817518248175
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-02-01-02-02-04.mp4,3.57025,240.78566427743843,963.3031561646065,0.0026901785749942064,1.0531021871429402e-05,0.5803571428571429,1,0.528,4.326923076923077
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-02-02-01-01-04.mp4,3.970625,243.63767114144946,1492.3973487797414,0.0026576051022857428,1.0054838639916852e-05,0.5983935742971888,0,0.0,2.936241610738255
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_04\Actor_04\01-01-02-02-01-02-04.mp4,3.8038125,324.4581442921482,17386.207757449825,0.0027724041137844324,1.139404957939405e-05,0.6008403361344538,1,0.5760000000000001,5.244755244755245
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-01-01-01-01-05.mp4,3.603625,127.32550602185631,207.39261027783968,0.0015846994938328862,4.8168658395297825e-06,0.5530973451327433,1,0.624,4.0
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-01-01-01-02-05.mp4,3.6369375,580.039767001993,508559.82891753473,0.0013145769480615854,3.1735230550111737e-06,0.5657894736842105,1,0.048,6.2984496124031
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-01-01-02-01-05.mp4,3.103125,896.371477248611,589513.0883867908,0.0021937971469014883,8.759910087974276e-06,0.5721649484536082,0,0.0,5.0675675675675675
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-01-01-02-02-05.mp4,3.603625,108.78818527437282,249.6035241708697,0.0017722396878525615,5.361242529033916e-06,0.5530973451327433,1,0.512,4.0
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-02-01-01-01-05.mp4,4.037375,111.28532712610121,139.1575489581404,0.0011435938067734241,2.0867416878900258e-06,0.5652173913043478,0,0.0,6.555944055944057
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-02-01-01-02-05.mp4,4.104125,107.85911977854707,110.24899676895936,0.0007226448506116867,8.033904919102497e-07,0.5914396887159533,2,0.168,5.756578947368421
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-02-01-02-01-05.mp4,4.1374375,586.6186976448283,638319.8887342747,0.0010736366966739297,1.684236394794425e-06,0.5637065637065637,0,0.0,7.277397260273973
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_05\Actor_05\01-01-02-01-02-02-05.mp4,4.2375625,113.00051888986182,270.9048649226442,0.0017919332021847367,5.452144250739366e-06,0.5735849056603773,0,0.0,3.700657894736842
